Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.40425187791966E-17,-6.56669952542418E-18,0.0625420790069244,0,0,0,7.04603196242291,0.0428830248523542,-5.41803301222227E-20,1.29661912703242E-18,0.0428830248523542,-2.39196460527064E-18,0.0614322785331552,0,0,0,0,0,0,package://zeus_sim/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://zeus_sim/meshes/base_link.STL,,Joint1_v0-1/base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_plate,-0.0130197151406295,0.00016673783359167,0.0236083493244784,0,0,0,1.49099679299515,0.0059912584485333,-3.38443240882965E-06,0.000103949215011888,0.00572702856131155,-1.33123242154878E-06,0.0107910043642852,0,0,0,0,0,0,package://zeus_sim/meshes/base_plate.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://zeus_sim/meshes/base_plate.STL,,Joint1_v0-1/rotating_table-1;joint2_v0-1/base_moteur-1;joint2_v0-1/support_sans_moteur-1,Origin_joint_1,Axis_joint_1,joint_1,continuous,0,0,0.152539999998558,0,0,0,base_link,0,0,1,,,,,,,,,,,,
arm,-5.05379205848614E-05,0.364397847135059,0.00390810479445254,0,0,0,2.47909711560501,0.119871471203825,-5.11044341870296E-06,-1.78800543680481E-06,0.00134266330598186,0.000395220428916278,0.120009724984221,0,0,0,0,0,0,package://zeus_sim/meshes/arm.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://zeus_sim/meshes/arm.STL,,joint2_v0-1/axe2-1;joint2_v0-1/moteur_rond-2;joint2_v0-1/moteur_rond-1,Origin_joint_2,Axis_joint_2,joint_2,revolute,0,0,0.064050000082307,1.5707963267949,0,-1.57067229720919,base_plate,-0.0129295346677684,0,0.999916410072999,0,0,0,5.24,,,,,,,,
forearm,-0.00664,-0.32961,0.020862,0,0,0,2.5851,0.083851,-0.0016474,1.3769E-05,0.0021071,0.00068349,0.083475,0,0,0,0,0,0,package://zeus_sim/meshes/forearm.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://zeus_sim/meshes/forearm.STL,,joint3_v0-1/axe3-1;joint3_v0-1/moteur_rond-1,Origin_joint_3,Axis_joint_3,joint_3,revolute,0,0.733752119827105,0,0,0,1.59093881590551,arm,0.000260415401133654,0.0129269118719003,0.999916410073,0,0,0,5.24,,,,,,,,
wrist,0.000224372819499608,-0.0830477174254304,-0.0173520601660857,0,0,0,0.668441301204721,0.00093843190778967,1.41242981715693E-19,-8.09466640350848E-07,0.000668773652240966,1.09382796578356E-20,0.00100102222257799,0,0,0,0,0,0,package://zeus_sim/meshes/wrist.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://zeus_sim/meshes/wrist.STL,,joint4_v0-1/axe4-1,Origin_joint_4,Axis_joint_4,joint_4,revolute,-0.0118069737571342,-0.586093251658263,0.0339822911079425,0,0,-1.59093881590551,forearm,-0.012929534667772,0,0.999916410072999,0,0,0,5.24,,,,,,,,
gripper,-1.2279E-05,-1.6491E-06,-0.020947,0,0,0,0.22738,8.9687E-05,-1.7952E-09,2.6762E-09,0.00013479,-1.8542E-09,8.5758E-05,0,0,0,0,0,0,package://zeus_sim/meshes/gripper.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://zeus_sim/meshes/gripper.STL,,joint4_v0-1/moteur_rotation_poignet-1;pince_V0-2/grippingThing-2;pince_V0-2/grippingThing-1;pince_V0-2/lien1-2;pince_V0-2/lien2-3;pince_V0-2/lien2-4;pince_V0-2/gear side 1-1;pince_V0-2/gear side 2-1;pince_V0-2/lien2-1;pince_V0-2/centerPiece-1;pince_V0-2/lien1-1;pince_V0-2/lien2-2,Origin_joint_5,Axis_joint_5,joint_5,continuous,0.00016421,-0.15927,-0.012699,-1.5708,1.5579,0,wrist,0,0,1,,,,,,,,,,,,
